account_id,BRANCH_CODE,customer_id,ACCOUNT_TYPE,balance,status
1,19012,1,SBBAS2,427000,ACTIVE
2,00612,1,SBGEN,271900,ACTIVE
3,21792,2,TD001,1622000,ACTIVE
4,50782,2,SBODS4,169900,ACTIVE
5,16959,2,TD002,633000,ACTIVE
6,00212,2,SBODS4,7600,ACTIVE
7,00782,2,TD001,1122000,BLOCKED
8,14158,3,CACOL,3207000,ACTIVE
9,00613,3,SBBAS2,413700,ACTIVE
10,11234,3,TD001,1509000,ACTIVE
11,21424,3,CA0033,2292000,ACTIVE
12,00912,3,TD001,361000,ACTIVE
13,50782,4,TD002,789000,ACTIVE
14,09012,4,SBBAS2,6600,ACTIVE
15,16789,4,TD001,1850000,ACTIVE
16,00836,4,TD003,1840000,ACTIVE
17,00201,5,SB101,144400,ACTIVE
18,00212,5,TD001,1513000,ACTIVE
19,20123,5,CACOL,1725000,ACTIVE
20,20815,5,TD003,446000,ACTIVE
21,18849,6,SBGEN,39300,ACTIVE
22,61020,6,SB101,116000,ACTIVE
23,21061,6,CAGEN,694000,ACTIVE
24,01245,6,CAGEN,94500,ACTIVE
25,00656,7,TD002,1290000,ACTIVE
26,00156,7,TD002,1590000,BLOCKED
27,00255,7,TD003,1027000,ACTIVE
28,14567,8,TD001,74000,ACTIVE
29,13279,8,CA0033,3913000,ACTIVE
30,01378,8,TD001,1184000,ACTIVE
31,21240,9,CAGEN,775500,ACTIVE
32,08901,9,SBCHQ,142400,ACTIVE
33,00656,10,TD003,416000,ACTIVE
34,01012,10,SBBAS2,120300,ACTIVE
35,21291,10,TD001,1986000,ACTIVE
36,00334,11,SBGEN,194600,ACTIVE
37,14166,11,SBGEN,415600,ACTIVE
38,1195,11,SBBAS2,420000,ACTIVE
39,20998,11,CAGEN,556000,ACTIVE
40,11723,11,CAGEN,647000,ACTIVE
41,00311,12,SBGEN,400700,ACTIVE
42,21240,12,TD002,677000,ACTIVE
43,00823,12,CA0033,3619000,ACTIVE
44,20847,12,CAGEN,399500,ACTIVE
45,00267,12,SB101,95500,BLOCKED
46,14826,13,SBGEN,34200,ACTIVE
47,00212,13,CA0033,4734000,ACTIVE
48,00998,13,SBGEN,162600,ACTIVE
49,00542,13,TD003,1652000,ACTIVE
50,00334,13,TD001,505000,ACTIVE
51,2714,14,SBCHQ,182600,ACTIVE
52,14681,14,SBCHQ,219700,ACTIVE
53,20998,14,SBCHQ,386200,ACTIVE
54,60156,14,CAGEN,283000,ACTIVE
55,6854,15,SBODS4,160100,ACTIVE
56,00711,16,TD001,346000,ACTIVE
57,00432,16,SBCHQ,224200,ACTIVE
58,04567,16,CAGEN,44000,ACTIVE
59,00691,17,SB101,15400,ACTIVE
60,1195,17,CAGEN,372000,ACTIVE
61,00692,17,TD001,464000,ACTIVE
