Branch Code,Branch Name
00301,Ahmedabad Main
03093,Madhupura Ahmedabad
31277,Tilak Road Ahmedabad
31346,Maninagar East
00373,Gandhidham
00334,Bhuj
60007,Darbagadh Bhavnagar
00255,Chodavaram
00751,Addanki
00788,Giddalur
00977,Jammalamadugu
01173,Cumbum
01441,Pathapatnam
02696,Betamcherla
02786,Puttaparthi
02796,Tanguturu
04816,Sabbavaram
05061,TFCPC Visakhapatnam
05364,ADB Narsipatnam
11119,Buchireddypalem
11121,Chinna Chowk Kadapa
11723,Gujjanagundla
12960,Kurnool Road Dhone
13279,Chilakaluripeta Bazar
14158,Atmakur Bazar
14166,Undi
14171,Bazar Br Allagadda
14826,Ganesh Chowk Nidadavole
15069,Alluru
15071,Piduguralla Bazar
15248,ITI Circle Kadapa
15306,North Rajupalem
16383,Padra
16528,Gandhi Road Chittoor
16959,Narasannapeta Bazar
17921,Tadikonda
17980,SPBB Branch Kurnool
18294,Yerraguntla Bazar
18779,Gayathrinagar Vizag
18849,Duvvada Road Visakhapatnam
1980,APP Mills Rajahmundry
1675,BHPV Visakhapatnam
6854,Balanagar SME Hyderabad
3026,Chandrayanagutta Hyderabad
1195,Chilakaluripeta
2714,ECIL Hyderabad
00836,Eluru
11660,Gandhi Nagar Hyderabad
00844,Guntur
1676,HAL Campus Hyderabad
04187,Hi-Tech City Hyderabad
20507,Kalamandir Road Chilakaluripeta
20795,Chittoor Bazar
20815,Janapadu Road Piduguralla
20820,Yenumulapalli Puttaparthi
20847,Bazar Branch Tanguturu
20854,Buchireddypalem Town
20963,Pothina Mallyyapalem Vizag
20984,Alluru Town
20998,Yerraguntla Town
21007,Old GT Road Narasannapeta
21061,OAD HO Hyderabad
21067,Madras Road Kadapa
21184,Kothapet Road Dhone
21205,Town Branch Podili
21210,Gujjanagundla Guntur
21213,Sabbavaram Vizag
21240,Bazar Br Pathapatnam
21249,Town Branch Addanki
21251,Town Branch Cumbum
21279,Ramaraopeta Narsipatnam
21284,Town Branch Giddalur
21289,Undi West Godavari
21291,Pangidi Road Chagallu
21400,Kurnool Main
21406,Anandnagar Char Rasta
21424,Atmakur KG Road
21516,Chipurupalle East
21523,Betamcherla Town
21554,North Rajupalem Town
21612,Chedikada Road Chodavaram
21625,Jammalamadugu Town
21651,TB Road Allagadda
21752,ITI Circle Kadapa Town
21792,Ganapathi Center Nidadavole
21803,Tirupati Main
21861,Tadikonda Town
30142,Auda Garden Ahmedabad
30273,Gheekanta Ahmedabad
40769,Majura Gate Surat
41024,Double Road Visakhapatnam
50782,Bank Circle Gandhidham
50784,KK Tower Ahmedabad
50869,Tagor Road Rajkot
60148,SME Surendranagar
60156,Station Road Bhuj
60159,Station Road Bhavnagar
61020,Amaravati LHO
70649,Tirupati Town
00001,Mumbai Main
00293,Ram Krishna Nagar Rajkot
05744,GIDC Wadhwan
14681,Chagallu Town
20591,Vada Chipurupalle
00656,Chennai Main
00800,Bangalore Main
00691,Kolkata Main
00692,New Delhi Main
00325,Bhopal Main
00454,Pune Main
00613,Chandigarh Main
00551,Lucknow Main
00123,Jaipur Main
00723,Patna Main
00901,Guwahati Main
00432,Kochi Main
00382,Thiruvananthapuram Main
00421,Indore Main
00282,Nagpur Main
00812,Bhubaneswar Main
00782,Ranchi Main
00542,Dehradun Main
00891,Shimla Main
00234,Jammu Main
00156,Srinagar Main
00941,Shillong Main
00876,Imphal Main
00765,Agartala Main
00654,Aizawl Main
00543,Kohima Main
00213,Itanagar Main
00112,Gangtok Main
00491,Panaji Main
00342,Raipur Main
00867,Port Blair Main
00998,Kavaratti Main
01234,SME Branch Noida
02345,Industrial Area Gurgaon
03456,PBB Vasant Kunj
04567,RACPC Thane
05678,SARC Ernakulam
06789,CCP Commercial Kolkata
07890,FID Corporate Mumbai
08901,CAG Branch New Delhi
09012,Treasury Branch Mumbai
10123,Overseas Branch Chennai
11234,NRI Branch Hyderabad
12345,Specialized Agricultural Bangalore
13456,Hi-Tech Agri Pune
14567,SME Development Indore
15678,Asset Recovery Jaipur
16789,Mid Corporate Ahmedabad
17890,Personal Banking Surat
18901,Commercial Branch Ludhiana
19012,Trade Finance Kanpur
20123,Micro Finance Patna
00182,Agra Main
00201,Allahabad Main
00212,Amritsar Main
00244,Bareilly Main
00267,Baroda Main
00311,Bhilai Main
00356,Calicut Main
00399,Coimbatore Main
00412,Cuttack Main
00478,Dhanbad Main
00512,Gwalior Main
00534,Hubli Main
00567,Jabalpur Main
00599,Jalandhar Main
00612,Jamshedpur Main
00634,Jodhpur Main
00678,Kalyan Main
00711,Kanpur Main
00745,Kota Main
00799,Madurai Main
00823,Mangalore Main
00856,Meerut Main
00889,Mysore Main
00912,Nashik Main
00945,Nellore Main
00978,Patiala Main
01012,Pondicherry Main
01045,Raipur Main
01078,Rajahmundry Main
01112,Ranchi Main
01145,Rourkela Main
01178,Salem Main
01212,Sholapur Main
01245,Surat Main
01278,Tiruchirapalli Main
01312,Tirupur Main
01345,Trichur Main
01378,Udaipur Main
01412,Varanasi Main
01445,Vijayawada Main
01478,Visakhapatnam Main
01512,Warangal Main
