txn_id,txn_timestamp,from_acct_id,to_acct_id,txn_type,amount,status,error_msg
1,2025-10-27 10:56:52,1676,3711,UPI,1112,SUCCESS,
2,2025-11-07 10:53:18,11,1373,IMPS,164382,SUCCESS,
3,2025-04-23 00:11:41,3504,,ATM WITHDRAWAL,8323,SUCCESS,
4,2025-07-26 01:51:27,1001,883,NEFT,461200,SUCCESS,
5,2025-08-22 16:47:05,2576,,INTEREST CREDIT,23274,SUCCESS,
6,2025-06-07 19:59:46,4596,,ATM WITHDRAWAL,937,SUCCESS,
7,2025-04-27 19:06:08,2655,3015,FUND TRANSFER,955014,SUCCESS,
8,2025-02-21 17:50:24,162,1945,UPI,2683,SUCCESS,
9,2025-03-19 23:05:48,678,,ATM WITHDRAWAL,4711,SUCCESS,
10,2025-09-21 03:48:30,4660,310,UPI,1548,SUCCESS,
11,2025-08-27 04:14:20,2519,,WITHDRAWAL,23112,SUCCESS,
12,2025-02-03 18:15:38,4938,4440,UPI,7702,SUCCESS,
13,2025-07-08 14:54:40,3070,,WITHDRAWAL,21530,SUCCESS,
14,2025-08-09 12:27:55,4134,283,UPI,6985,SUCCESS,
15,2025-04-29 00:47:27,4874,2644,FUND TRANSFER,899104,SUCCESS,
16,2025-01-18 10:11:17,4471,2862,UPI,415,SUCCESS,
17,2025-09-06 15:57:07,3582,,INTEREST CREDIT,2380,SUCCESS,
18,2025-01-30 01:11:24,2199,,WITHDRAWAL,43072,SUCCESS,
19,2025-03-31 16:42:17,540,,ATM WITHDRAWAL,7228,SUCCESS,
20,2025-04-03 08:17:15,135,,DEPOSIT,60404,SUCCESS,
21,2025-08-22 12:37:31,1219,2023,NEFT,317542,SUCCESS,
22,2025-10-07 15:46:28,186,,DEPOSIT,21290,SUCCESS,
23,2025-12-14 13:53:36,3684,,DEPOSIT,76535,SUCCESS,
24,2025-12-20 18:30:22,50,3237,IMPS,1357,SUCCESS,
25,2025-09-22 09:53:42,1557,,DEPOSIT,98228,SUCCESS,
26,2025-02-04 14:02:52,4800,,ATM WITHDRAWAL,699,SUCCESS,
27,2025-09-15 22:44:02,2844,804,IMPS,103454,SUCCESS,
28,2025-02-05 23:57:27,1673,4708,IMPS,37489,SUCCESS,
